policy,workload,queue_depth,bank_count,refresh_interval,thread_count,completed_requests,dropped_requests,avg_latency_cycles,p95_latency_cycles,avg_wait_cycles,throughput_req_per_cycle,throughput_req_per_kcycle,row_buffer_hit_rate,jains_fairness,bank_utilization
fcfs,workload1_random.txt,4,8,1.0,1,9024,90967,97.0691,208.85,43.2766,0.09024,90.24,0.0,1.0,"{'bank_0': 0.6138, 'bank_1': 0.5706, 'bank_2': 0.64836, 'bank_3': 0.60084, 'bank_4': 0.603, 'bank_5': 0.60462, 'bank_6': 0.63216, 'bank_7': 0.58356}"
fcfs,workload1_random.txt,8,8,1.0,1,10645,89340,127.893,269.0,74.0689,0.10645,106.45,0.0,1.0,"{'bank_0': 0.72342, 'bank_1': 0.7137, 'bank_2': 0.72126, 'bank_3': 0.6921, 'bank_4': 0.7002, 'bank_5': 0.73098, 'bank_6': 0.73044, 'bank_7': 0.7218}"
fcfs,workload1_random.txt,16,8,1.0,1,11969,88009,186.2492,477.0,132.4056,0.11969,119.69,0.0,1.0,"{'bank_0': 0.82818, 'bank_1': 0.79416, 'bank_2': 0.78336, 'bank_3': 0.81252, 'bank_4': 0.84384, 'bank_5': 0.82062, 'bank_6': 0.76932, 'bank_7': 0.79578}"
fcfs,workload1_random.txt,32,8,1.0,1,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
fcfs,workload1_random.txt,64,8,1.0,1,13750,86180,515.9811,1398.0,462.1172,0.1375,137.5,0.0,1.0,"{'bank_0': 0.95832, 'bank_1': 0.9189, 'bank_2': 0.91134, 'bank_3': 0.92484, 'bank_4': 0.93132, 'bank_5': 0.93726, 'bank_6': 0.9081, 'bank_7': 0.91944}"
fcfs,workload1_random.txt,32,2,1.0,1,3562,96404,945.4057,1673.0,891.5371,0.03562,35.62,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.95724}"
fcfs,workload1_random.txt,32,4,1.0,1,6867,93097,516.4938,1326.3,462.6406,0.06867,68.67,0.0003,1.0,"{'bank_0': 0.9396, 'bank_1': 0.91512, 'bank_2': 0.91296, 'bank_3': 0.93258}"
fcfs,workload1_random.txt,32,8,1.0,1,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
fcfs,workload1_random.txt,32,16,1.0,1,23792,76161,187.0321,479.0,133.1925,0.23792,237.92,0.0001,1.0,"{'bank_0': 0.819, 'bank_1': 0.8217, 'bank_2': 0.77868, 'bank_3': 0.78228, 'bank_4': 0.8379, 'bank_5': 0.81144, 'bank_6': 0.79416, 'bank_7': 0.792, 'bank_8': 0.78876, 'bank_9': 0.77868, 'bank_10': 0.79848, 'bank_11': 0.8001, 'bank_12': 0.80226, 'bank_13': 0.80604, 'bank_14': 0.82278, 'bank_15': 0.78336}"
fcfs,workload1_random.txt,32,8,0.5,1,12489,87473,308.2887,857.0,254.5885,0.12489,124.89,0.0,1.0,"{'bank_0': 0.85716, 'bank_1': 0.8496, 'bank_2': 0.81396, 'bank_3': 0.81504, 'bank_4': 0.87714, 'bank_5': 0.83556, 'bank_6': 0.82098, 'bank_7': 0.84096}"
fcfs,workload1_random.txt,32,8,0.75,1,12916,87045,299.6874,754.0,245.8881,0.12916,129.16,0.0,1.0,"{'bank_0': 0.8937, 'bank_1': 0.86508, 'bank_2': 0.83538, 'bank_3': 0.86508, 'bank_4': 0.90288, 'bank_5': 0.88182, 'bank_6': 0.85104, 'bank_7': 0.85806}"
fcfs,workload1_random.txt,32,8,1.0,1,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
fcfs,workload1_random.txt,32,8,1.25,1,13069,86891,297.0909,701.0,243.2121,0.13069,130.69,0.0,1.0,"{'bank_0': 0.89118, 'bank_1': 0.85554, 'bank_2': 0.82692, 'bank_3': 0.91872, 'bank_4': 0.8658, 'bank_5': 0.89712, 'bank_6': 0.87498, 'bank_7': 0.91548}"
fcfs,workload1_random.txt,32,8,1.5,1,13125,86837,296.0155,753.0,242.1143,0.13125,131.25,0.0,1.0,"{'bank_0': 0.87966, 'bank_1': 0.90666, 'bank_2': 0.87642, 'bank_3': 0.88506, 'bank_4': 0.89802, 'bank_5': 0.91476, 'bank_6': 0.84942, 'bank_7': 0.86778}"
fcfs,workload1_random.txt,32,8,1.0,1,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
fcfs,workload1_random.txt,32,8,1.0,2,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
fcfs,workload1_random.txt,32,8,1.0,4,13054,86906,297.3662,755.0,243.5152,0.13054,130.54,0.0002,1.0,"{'bank_0': 0.9054, 'bank_1': 0.873, 'bank_2': 0.86814, 'bank_3': 0.88236, 'bank_4': 0.89622, 'bank_5': 0.89514, 'bank_6': 0.83628, 'bank_7': 0.8775}"
